|                    |F1|F2|F3|F4|F5|F6|F7|F8|F9|ANSWER|
| Individual 0       |48.7803|0.0247128|40.3659|2.08194|-11.3736|183.748|48.1532|201.83|2.05723|-60.1539|52.3639|
| Individual 1       |39.1318|0.00351839|35.891|1.64647|5.21313|161.74|0.245129|179.455|1.64295|-33.9187|45.8527|
| Individual 2       |54.6253|0.0748509|39.6176|2.01517|4.07385|222.575|33.9334|198.088|1.94032|-50.5515|94.0208|
| Individual 3       |52.007|0.00486279|29.847|2.02781|7.22105|215.249|1.77608|149.235|2.02294|-44.7859|115.593|
| Individual 4       |40.6416|0.0321455|24.9952|2.06701|5.1926|167.759|4.11952|124.976|2.03487|-35.449|82.5989|
| Individual 5       |23.2763|0.0702234|29.571|1.96952|5.29303|98.3984|196.732|147.855|1.8993|-17.9833|0.188946|
| Individual 6       |48.1532|0.245129|33.9334|1.77608|4.11952|196.732|5.57337|169.667|1.53095|-44.0337|87.2774|
| Individual 7       |43.2055|0.0133949|40.6537|1.99944|3.83221|176.654|169.667|203.268|1.98604|-39.3732|44.7628|
| Individual 8       |46.6477|0.0720053|45.3794|2.04947|8.67327|195.264|1.53095|226.897|1.97747|-37.9744|49.2383|
| Individual 9       |56.7257|0.0630956|25.3498|1.98684|5.10422|232.007|-44.0337|126.749|1.92374|-51.6215|146.339|
| Individual 10       |66.7327|0.2214|45.2612|1.88878|5.43433|272.365|87.2774|226.306|1.66738|-61.2983|128.245|
| Individual 11       |49.8976|0.0321016|32.4288|2.0171|5.93854|205.529|43.2055|162.144|1.985|-43.959|98.3174|
| Individual 12       |61.047|0.114365|31.6318|1.85846|4.47284|248.661|0.0133949|158.159|1.7441|-56.5742|145.045|
| Individual 13       |36.7443|0.311022|24.4445|1.94919|0.16343|147.141|40.6537|122.223|1.63817|-36.5809|65.6162|
| Individual 14       |55.6796|0.022284|38.8781|2.00417|4.28811|227.006|1.99944|194.39|1.98188|-51.3915|100.463|
| Individual 15       |49.8585|0.0647088|26.0975|2.06845|5.47834|204.912|3.83221|130.488|2.00374|-44.3802|116.601|
| Individual 16       |59.4101|0.0176974|30.9602|1.85141|12.0753|249.716|176.654|154.801|1.83371|-47.3347|147.666|
| Individual 17       |47.8116|0.0602028|47.9502|1.88978|4.7058|195.952|6.01171|239.751|1.82957|-43.1058|42.9536|
| Individual 18       |50.1884|0.170134|33.8673|2.00013|4.38589|205.14|203.268|169.337|1.83|-45.8026|94.3876|
| Individual 19       |61.4174|0.121136|48.6324|1.91587|-17.0366|228.633|1.98604|243.162|1.79474|-78.4541|73.762|
| Individual 20       |59.906|0.13084|41.4693|2.01637|5.06005|244.684|-39.3732|207.346|1.88553|-54.846|110.849|
| Individual 21       |47.7384|0.0744414|21.9558|1.96837|3.44645|194.4|44.7628|109.779|1.89393|-44.292|119.063|
| Individual 22       |57.7581|0.0579329|44.1995|1.88828|5.52387|236.556|46.6477|220.997|1.83035|-52.2343|94.8062|
| Individual 23       |21.4343|0.0958026|20.0264|2.02107|8.78225|94.5193|0.0720053|100.132|1.92527|-12.652|24.8139|
| Individual 24       |59.1513|0.176439|22.4521|1.99945|5.79368|242.399|45.3794|112.261|1.82301|-53.3576|165.928|
| Individual 25       |54.9117|0.0492369|48.4264|1.90936|6.24048|225.887|2.04947|242.132|1.86012|-48.6712|71.3075|
| Individual 26       |42.957|0.00113807|49.4971|2.04354|8.01769|179.846|8.67327|247.485|2.0424|-34.9393|21.1424|
| Individual 27       |59.1775|0.0194654|24.7319|1.90527|5.33062|242.041|195.264|123.66|1.88581|-53.8469|158.416|
| Individual 28       |61.9776|0.139813|39.0029|1.99263|6.56246|254.473|6.22042|195.014|1.85282|-55.4151|128.2|
| Individual 29       |55.4741|0.0124925|35.7837|1.9904|3.65046|225.547|226.897|178.918|1.97791|-51.8236|108.306|
| Individual 30       |51.5769|0.0813815|29.4802|1.97732|1.48049|207.788|1.97747|147.401|1.89594|-50.0965|109.868|
| Individual 31       |48.519|0.0563607|31.1068|1.95852|7.71933|201.795|-37.9744|155.534|1.90216|-40.7997|98.9641|
| Individual 32       |48.4476|0.112774|41.8583|2.0869|4.80977|198.6|49.2383|209.291|1.97413|-43.6378|63.1548|
| Individual 33       |47.3394|0.061699|39.8407|1.99424|5.51109|194.869|56.7257|199.203|1.93255|-41.8283|65.6841|
| Individual 34       |53.1033|0.00150635|39.2894|2.07464|4.90575|217.319|0.0630956|196.447|2.07313|-48.1975|89.085|
| Individual 35       |28.7495|0.185774|33.6725|1.71785|3.68498|118.683|25.3498|168.363|1.53208|-25.0645|10.005|
| Individual 36       |65.7041|0.118967|42.6159|1.60775|5.25648|268.073|1.98684|213.079|1.48878|-60.4476|132.781|
| Individual 37       |46.0469|0.233615|42.4004|1.6337|-12.2067|171.981|5.10422|212.002|1.40009|-58.2536|37.7794|
| Individual 38       |35.3003|0.0985805|41.2796|1.91299|7.34944|148.551|232.007|206.398|1.81441|-27.9509|15.64|
| Individual 39       |52.2772|0.0371309|23.1139|2.03246|5.17543|214.284|6.02361|115.57|1.99533|-47.1018|134.966|
| Individual 40       |45.0395|0.0649713|35.5997|1.85997|4.42411|184.582|126.749|177.998|1.795|-40.6154|68.8083|
| Individual 41       |41.6976|0.0862219|29.9352|2.12083|5.00521|171.796|1.92374|149.676|2.0346|-36.6924|71.817|
