,,,,,,,,
,,,,,,,,
Texe,aux1,aux2,aux3,aux4,aux5,div,Effect,Id
"-28,7","-4,6","-7,7","-373,1","-397,9","3840,7",32,"120,021875",Mean
"24,1","-3,1","-365,4","-24,8","4238,6","1133,7",16,"70,85625",F5
"-27,2","-182,6","12,8",2101,"721,1","310,3",16,"19,39375",F4
"24,1","-182,8","-37,6","2137,6","412,6","307,7",16,"19,23125",F4F5
"-116,9","6,4",1231,"206,7","310,3","-1128,3",16,"-70,51875",F3
"-65,7","6,4",870,"514,4",0,"305,9",16,"19,11875",F3F5
"-117,1","-173,3","1248,4",207,"307,7","307,3",16,"19,20625",F3F4
"-65,7","135,7","889,2","205,6",0,"310,7",16,"19,41875",F3F4F5
"-22,5","615,5","104,1","1,3","-408,1","384,9",16,"24,05625",F2
"28,9","615,5","102,6",309,"-720,2","306,3",16,"19,14375",F2F5
"-22,5",435,"102,8",0,"307,3","307,7",16,"19,23125",F2F4
"28,9",435,"411,6",0,"-1,4","310,3",16,"19,39375",F2F4F5
"-112,3","624,2","104,2","-1,3","307,3","309,1",16,"19,31875",F2F3
-61,"624,2","102,8",309,0,"311,7",16,"19,48125",F2F3F5
"-112,3","444,6","102,8",0,"310,7","310,7",16,"19,41875",F2F3F4
248,"444,6","102,8",0,0,"307,3",16,"19,20625",F2F3F4F3
"281,7","52,8","1,5","-357,7","348,3","4636,5",16,"289,78125",F1
"333,8","51,3","-0,2","-50,4","36,6","-308,5",16,"-19,28125",F1F5
"281,7","51,2",0,-361,"307,7","-310,3",16,"-19,39375",F1F4
"333,8","51,4",309,"-359,2","-1,4","-307,7",16,"-19,23125",F1F4F5
"191,8","51,4",0,"-1,5","307,7","-312,1",16,"-19,50625",F1F3
"243,2","51,4",0,"308,8",0,"-308,7",16,"-19,29375",F1F3F5
"191,8","51,3",0,"-1,4","310,3","-307,3",16,"-19,20625",F1F3F4
"243,2","360,3",0,0,0,"-310,7",16,"-19,41875",F1F3F4F5
"286,4","52,1","-1,5","-1,7","307,3","-311,7",16,"-19,48125",F1F2
"337,8","52,1","0,2",309,"1,8","-309,1",16,"-19,31875",F1F2F5
"286,4","51,4",0,0,"310,3","-307,7",16,"-19,23125",F1F2F4
"337,8","51,4",309,0,"1,4","-310,3",16,"-19,39375",F1F2F4F5
"196,6","51,4",0,"1,7","310,7","-305,5",16,"-19,09375",F1F2F3
248,"51,4",0,309,0,"-308,9",16,"-19,30625",F1F2F3F5
"196,6","51,4",0,0,"307,3","-310,7",16,"-19,41875",F1F2F3F4
248,"51,4",0,0,0,"-307,3",16,"-19,20625",F1F2F3F4F3
